adapter,level1_affected,level2_affected,any_affected,level0_ub_bits,level1_ub_bits,level2_ub_bits,level0_ub_kib,level1_ub_kib,level2_ub_kib,level1_pass_observed,level2_pass_observed,level1_vector_functions_before,level2_vector_functions_before,all_levels_ub_line_observed,diagnostic
triton.language.abs.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.advance.ttadapter,False,False,False,4096,4096,4096,0.5,0.5,0.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.and.ttadapter,False,False,False,512,512,512,0.0625,0.0625,0.0625,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.arange.ttadapter,False,False,False,4096,4096,4096,0.5,0.5,0.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.argmax.ttadapter,False,False,False,1536,1536,1536,0.1875,0.1875,0.1875,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.argmin.ttadapter,False,False,False,1536,1536,1536,0.1875,0.1875,0.1875,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.associative_scan.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.assume.ttadapter,False,False,False,8192,8192,8192,1.0,1.0,1.0,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.atomic_add.ttadapter,False,False,False,32768,32768,32768,4.0,4.0,4.0,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.atomic_and.ttadapter,False,False,False,49152,49152,49152,6.0,6.0,6.0,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.atomic_cas.ttadapter,False,False,False,,,,,,,False,False,0,0,False,
triton.language.atomic_max.ttadapter,False,False,False,256,256,256,0.03125,0.03125,0.03125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.atomic_min.ttadapter,False,False,False,256,256,256,0.03125,0.03125,0.03125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.atomic_or.ttadapter,False,False,False,49152,49152,49152,6.0,6.0,6.0,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.atomic_xchg.ttadapter,False,False,False,,,,,,,False,False,0,0,False,
triton.language.atomic_xor.ttadapter,False,False,False,81920,81920,81920,10.0,10.0,10.0,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.broadcast_to.ttadapter,False,False,False,4608,4608,4608,0.5625,0.5625,0.5625,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.cast.ttadapter,False,False,False,256,256,256,0.03125,0.03125,0.03125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.cat.ttadapter,False,False,False,1024,1024,1024,0.125,0.125,0.125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.cdiv.ttadapter,False,False,False,4096,4096,4096,0.5,0.5,0.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.ceil.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.clamp.ttadapter,False,False,False,3072,3072,3072,0.375,0.375,0.375,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.cos.ttadapter,False,False,False,12288,12288,12288,1.5,1.5,1.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.cumprod.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.cumsum.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.debug_barrier.ttadapter,False,False,False,4096,4096,4096,0.5,0.5,0.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.device_assert.ttadapter,False,False,False,256,256,256,0.03125,0.03125,0.03125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.device_print.ttadapter,False,False,False,256,256,256,0.03125,0.03125,0.03125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.div_rn.ttadapter,False,False,False,4096,4096,4096,0.5,0.5,0.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.dot.ttadapter,False,False,False,,,,,,,True,True,0,0,False,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.dot_scaled.ttadapter,False,False,False,25600,25600,25600,3.125,3.125,3.125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.eq.ttadapter,False,False,False,2304,2304,2304,0.28125,0.28125,0.28125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.erf.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.exp.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.exp2.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.expand_dims.ttadapter,False,False,False,256,256,256,0.03125,0.03125,0.03125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.extra.cann.extension.extract_slice.ttadapter,False,False,False,66560,66560,66560,8.125,8.125,8.125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.extra.cann.extension.gather_out_to_ub.ttadapter,False,False,False,,,,,,,True,True,0,0,False,LLVM ERROR: Failed to obtain op buffer shape size which should be static. | LLVM ERROR: Failed to obtain op buffer shape size which should be static. | LLVM ERROR: Failed to obtain op buffer shape size which should be static.
triton.language.extra.cann.extension.get_element.ttadapter,False,False,False,177920,177920,177920,21.71875,21.71875,21.71875,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.extra.cann.extension.index_put.ttadapter,False,False,False,,,,,,,True,True,0,0,False,LLVM ERROR: Failed to obtain op buffer shape size which should be static. | LLVM ERROR: Failed to obtain op buffer shape size which should be static. | LLVM ERROR: Failed to obtain op buffer shape size which should be static.
triton.language.extra.cann.extension.insert_slice.ttadapter,False,False,False,99328,99328,99328,12.125,12.125,12.125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.extra.cann.extension.parallel.ttadapter,False,False,False,786432,786432,786432,96.0,96.0,96.0,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.extra.cann.extension.scatter_ub_to_out.ttadapter,False,False,False,,,,,,,True,True,0,0,False,LLVM ERROR: Failed to obtain op buffer shape size which should be static. | LLVM ERROR: Failed to obtain op buffer shape size which should be static. | LLVM ERROR: Failed to obtain op buffer shape size which should be static.
triton.language.extra.cann.extension.sort.ttadapter,False,False,False,21504,21504,21504,2.625,2.625,2.625,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.extra.cann.extension.sync_block_all.ttadapter,False,False,False,,,,,,,True,True,0,0,False,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.fdiv.ttadapter,False,False,False,4096,4096,4096,0.5,0.5,0.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.flip.ttadapter,False,False,False,196608,196608,196608,24.0,24.0,24.0,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.floor.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.fma.ttadapter,False,False,False,6144,6144,6144,0.75,0.75,0.75,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.full.ttadapter,False,False,False,1024,1024,1024,0.125,0.125,0.125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.gather.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.ge.ttadapter,False,False,False,4096,4096,4096,0.5,0.5,0.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.gt.ttadapter,False,False,False,4096,4096,4096,0.5,0.5,0.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
triton.language.histogram.ttadapter,False,False,False,65792,65792,65792,8.03125,8.03125,8.03125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
